latitude,longitude,City, Pop_1840, Pop_1850, Pop_1860, Pop_1870, Pop_1880, Pop_1890, Pop_1900, Pop_1919, Pop_1920, Pop_1930, Pop_1940, Pop_1950, Pop_1960, Pop_1970, Pop_1980, Pop_1990, Pop_2000, Pop_2010,Pop_2018,Change_1850,Change_1860,Change_1870,Change_1880,Change_1890,Change_1900,Change_1910,Change_1920,Change_1930,Change_1940,Change_1950,Change_1960,Change_1970,Change_1980,Change_1990,Change_2000,Change_2010,Change_2018,1970-1980,1970-1990,1970-2000,1970-2010,1970-2018
42.3316803,-83.0479965,Detroit,9102,21019,45619,79577,116340,205876,285704,465766,993678,1568662,1623452,1849568,1670144,1514063,1203368,1027974,951270,713777,672662,130.93,117.04,74.44,46.2,76.96,38.77,63.02,113.34,57.86,3.49,13.93,-9.7,-9.35,-20.52,-14.58,-7.46,-24.97,-5.76,-20.52,-32.1,-37.17,-52.86,-55.57
41.6037102,-87.3371735,Gary, NULL, NULL, NULL, NULL, NULL, NULL, NULL,16802,55378,100666,111719,133911,178320,175415,151968,116646,102746,80294,75282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,229.59,81.78,10.98,19.86,33.16,-1.63,-13.37,-23.24,-11.92,-21.85,-6.24,-13.37,-33.5,-41.43,-54.23,-57.08
43.0114403,-83.6867905,Flint, NULL,1670,2950,5386,8409,9803,13103,38550,91599,156492,151543,163143,196940,193317,159611,140761,124943,102434,95943,NULL,76.65,82.58,56.13,16.58,33.66,194.21,137.61,70.84,-3.16,7.65,20.72,-1.84,-17.44,-11.81,-11.24,-18.02,-6.34,-17.44,-27.19,-35.37,-47.01,-50.37
42.1298218,-80.0855026,Erie,3412,5858,9419,19646,27737,40634,52733,66525,93372,115967,116955,130803,138440,129231,119123,108718,103717,101786,96471,71.69,60.79,108.58,41.18,46.5,29.78,26.15,40.36,24.2,0.85,11.84,5.84,-6.65,-7.82,-8.73,-4.6,-1.86,-5.22,-7.82,-15.87,-19.74,-21.24,-25.35
41.0980988,-80.6507874,Youngstown,654,2802,2759,8075,15435,33220,44885,79066,132358,170002,167720,168330,166689,139788,115427,95787,82026,66982,64958,328.44,-1.53,192.68,91.15,115.23,35.11,76.15,67.4,28.44,-1.34,0.36,-0.97,-16.14,-17.43,-17.02,-14.37,-18.34,-3.02,-17.43,-31.48,-41.32,-52.08,-53.53
41.5047302,-81.6907425,Cleveland,6071,17034,43417,92829,160146,261353,381768,560663,796841,900429,878336,914808,876050,750903,573822,505616,478403,396815,383793,180.58,154.88,113.81,72.52,63.2,46.07,46.86,42.12,13,-2.45,4.15,-4.24,-14.29,-23.58,-11.89,-5.38,-17.05,-3.28,-23.58,-32.67,-36.29,-47.15,-48.89
39.759201,-84.1938095,Dayton,6067,10977,20081,30473,38678,61220,85333,116577,152559,200982,210718,243872,262332,243601,193536,182044,166179,141759,140640,80.93,82.94,51.75,26.93,58.28,39.39,36.61,30.87,31.74,4.84,15.73,7.57,-7.14,-20.55,-5.94,-8.71,-14.69,-0.79,-20.55,-25.27,-31.78,-41.81,-42.27
40.064,-80.7209,Wheeling,7885,11435,14083,19280,30737,34522,38878,41641,56208,61659,61099,58891,53400,48188,43070,34882,31419,28486,26771,45.02,23.16,36.90,59.42,12.31,12.62,7.11,34.98,9.70,-0.91,-3.61,-9.32,-9.76,-10.62,-19.01,-9.93,-9.34,-6.02,-10.62,-27.61,-34.80,-40.89,-44.44
38.6277504,-90.1995621,St. Louis,16469,77860,160773,310864,350518,451770,575238,687029,772897,821960,816048,856796,750026,622236,453805,396685,348189,319294,302838,372.77,106.49,93.36,12.76,28.89,27.33,19.43,12.5,6.35,-0.72,4.99,-12.46,-17.04,-27.07,-12.59,-12.23,-8.3,-5.15,-27.07,-36.25,-44.04,-48.69,-51.33
39.8458519,-88.9520874,Decatur, NULL, NULL,3839,7161,9547,16841,20754,31140,43818,57510,59305,66269,78004,79285,94081,83885,81860,76122,71290,NULL,NULL,86.53,33.32,76.4,23.23,50.04,40.71,31.25,3.12,11.74,17.71,1.64,18.66,-10.84,-2.41,-7.01,-6.35,18.66,5.8,3.25,-3.99,-10.08
